element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
4,21,10,7,True,2023-08-26T14:00:00Z,2,2,3,34,0,2,0,1,0,0,0,0,0,0,0,22,23.0,15.3,25.0,6.3,0,0.04,0.22,0.26,0.25,54,-1390,9325,183,1573,1100,1090,1140,0.0,0,-0.14906166219839143,0.0,0.0,0.0,0.0,0.0
4,31,14,4,True,2023-09-03T15:30:00Z,3,1,4,13,0,1,0,0,0,0,0,0,0,0,0,15,18.0,12.2,4.0,3.4,0,0.00,0.01,0.01,0.06,54,1049,11354,1919,870,1275,1310,1240,7.0,7,0.0923903470142681,3.5,11.5,7.65,7.65,3.15
5,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.02,50,0,2743150,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,5,13.0,0.0,0.0,1.3,0,0.00,0.00,0.00,0.73,50,-223848,2639445,61796,285644,1100,1140,1170,1.0,1,-0.08480873820064445,0.5,0.1,0.0,0.0,0.0
5,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,21.2,2.2,0.0,2.3,1,0.00,0.01,0.01,0.96,48,-595383,1453168,13908,609291,1275,1310,1240,1.0,2,-0.40971381147947106,0.6666666666666666,4.3999999999999995,0.0,0.0,0.43333333333333335
6,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,30.3,15.0,5.5,1,0.05,0.24,0.29,1.18,75,0,407159,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,12,8,2,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,13.8,6.0,1.9,1,0.02,0.05,0.07,1.06,75,-63530,377081,8492,72022,1100,1140,1170,2.0,2,-0.16847839058451633,1.0,4.7,15.15,15.15,2.75
6,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,55,0,0,0,1,0,0,0,0,0,0,0,2,5.4,23.6,13.0,4.2,1,0.27,0.14,0.41,0.29,74,-76821,308042,5577,82398,1100,1090,1140,2.0,4,-0.24938482414735652,1.3333333333333333,3.1333333333333333,14.700000000000001,14.700000000000001,2.466666666666667
6,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,76,0,0,0,1,0,0,0,0,0,0,0,5,7.8,12.3,21.0,4.1,1,0.36,0.04,0.40,0.90,73,-84114,228041,1637,85751,1275,1310,1240,1.6666666666666667,5,-0.36885472349270526,1.25,3.7,16.925,16.925,2.9000000000000004
8,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.3,35.0,3.8,0,0.14,0.01,0.15,0.12,79,-20602,114556,8903,29505,1100,1090,1140,0.0,0,-0.17984217326023955,0.0,0.0,0.0,0.0,0.0
8,31,14,6,True,2023-09-03T15:30:00Z,3,1,4,14,1,0,0,0,0,0,0,1,0,0,2,25,35.0,11.3,23.0,6.9,0,0.67,0.04,0.71,0.06,79,16469,147993,29980,13511,1275,1310,1240,1.0,1,0.11128229037859899,0.5,1.5,0.15,0.15,1.9
9,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,5,3.6,0.6,0.0,0.4,0,0.00,0.01,0.01,0.59,55,-1903,19464,1215,3118,1100,1140,1170,0.0,0,-0.09777024249897247,0.0,0.0,0.0,0.0,0.0
9,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,6,0,0,0,1,0,0,0,0,0,0,0,4,4.2,6.7,0.0,1.1,0,0.00,0.03,0.03,0.25,55,-1887,19366,652,2539,1100,1090,1140,1.0,1,-0.09743881028606836,0.5,1.8,0.3,0.3,0.2
9,31,14,1,True,2023-09-03T15:30:00Z,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1618,18732,392,2010,1275,1310,1240,1.0,2,-0.08637625453768952,0.6666666666666666,2.6,2.433333333333333,2.433333333333333,0.5
10,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.2,0.0,0.1,0,0.00,0.00,0.00,0.26,45,-1391,9267,233,1624,1100,1140,1170,0.0,0,-0.15010251429804683,0.0,0.0,0.0,0.0,0.0
10,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,11,16.0,4.7,14.0,3.5,1,0.32,0.03,0.35,0.53,44,-758,9160,332,1090,1100,1090,1140,1.0,1,-0.08275109170305676,0.5,0.2,0.1,0.1,0.05
12,2,16,5,True,2023-08-12T12:00:00Z,2,1,1,85,0,1,0,1,0,0,0,0,0,0,0,23,25.4,42.5,8.0,7.6,1,0.00,0.22,0.22,1.16,80,0,1204797,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,8,3,False,2023-08-21T19:00:00Z,0,1,2,69,0,0,1,0,0,0,0,0,0,0,0,4,0.0,7.3,17.0,2.4,1,0.11,0.04,0.15,0.34,80,66471,1416545,122756,56285,1100,1140,1170,5.0,5,0.04692473588908224,2.5,12.7,21.25,21.25,3.8
12,21,10,2,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,12,12.2,8.3,75.0,9.6,1,0.54,0.11,0.65,0.53,80,-55951,1386937,71354,127305,1100,1090,1140,4.0,8,-0.040341414209873985,2.6666666666666665,8.466666666666667,16.599999999999998,16.599999999999998,3.3333333333333335
12,31,14,5,True,2023-09-03T15:30:00Z,3,1,4,89,0,1,0,1,0,0,0,0,0,0,0,20,22.2,27.1,27.0,7.6,1,0.14,0.16,0.30,0.96,80,-357493,1034988,15159,372652,1275,1310,1240,3.3333333333333335,10,-0.34540786946322083,2.5,9.399999999999999,14.524999999999999,14.524999999999999,4.9
13,2,16,8,True,2023-08-12T12:00:00Z,2,1,1,72,1,0,1,0,0,0,0,0,0,0,2,26,30.2,5.9,36.0,7.2,1,0.21,0.01,0.22,0.30,55,0,210426,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,12,8,5,False,2023-08-21T19:00:00Z,0,1,2,78,0,1,1,0,0,0,0,0,0,0,0,6,0.0,21.8,28.0,4.9,1,0.81,0.02,0.83,0.47,55,142472,488293,168491,26019,1100,1140,1170,8.0,8,0.29177563471112633,4.0,15.1,2.95,2.95,3.6
13,21,10,5,True,2023-08-26T14:00:00Z,2,2,3,45,1,0,0,1,0,0,0,0,0,0,0,24,28.6,7.1,33.0,6.9,0,0.43,0.10,0.53,0.25,56,121675,639022,183104,61429,1100,1090,1140,6.5,13,0.190408154961801,4.333333333333333,10.066666666666666,9.233333333333334,9.233333333333334,4.033333333333334
13,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,75,0,0,0,1,0,0,0,0,0,0,0,8,8.2,33.1,15.0,5.6,1,0.09,0.06,0.15,0.90,56,23622,680610,101244,77622,1275,1310,1240,6.0,18,0.034707100982941774,4.5,14.7,8.700000000000001,8.700000000000001,4.75
14,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,11,12.0,23.4,14.0,4.9,1,0.11,0.09,0.20,1.18,85,0,1941821,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,8,11,False,2023-08-21T19:00:00Z,0,1,2,89,1,0,1,0,0,0,0,0,0,0,3,32,44.6,19.8,27.0,9.1,1,0.83,0.09,0.92,0.80,85,-87344,2052971,75089,162433,1100,1140,1170,2.0,2,-0.042545169902546115,1.0,6.0,11.7,11.7,2.45
14,21,10,2,True,2023-08-26T14:00:00Z,2,2,3,83,0,0,0,1,0,0,0,0,0,0,0,10,11.8,12.4,24.0,4.8,1,0.11,0.14,0.25,0.29,85,68376,2222102,166740,98364,1100,1090,1140,6.5,13,0.030770864703780473,4.333333333333333,18.866666666666667,14.4,14.4,4.666666666666667
14,31,14,7,True,2023-09-03T15:30:00Z,3,1,4,90,1,0,0,1,0,0,0,0,0,0,0,24,38.2,5.4,40.0,8.4,1,0.34,0.06,0.40,0.96,85,-228233,2020789,38052,266285,1275,1310,1240,5.0,15,-0.1129425189863959,3.75,17.1,13.9,13.9,4.7
15,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,18,23.8,27.6,2.0,5.3,1,0.00,0.06,0.06,1.18,50,0,31892,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,12,8,3,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,0,21,18.6,24.1,13.0,5.6,1,0.07,0.05,0.12,1.06,50,-2840,36762,3462,6302,1100,1140,1170,2.0,2,-0.07725368587128012,1.0,11.9,13.8,13.8,2.65
15,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,55,0,0,0,1,0,0,0,0,0,0,0,16,11.0,6.5,0.0,1.8,1,0.00,0.08,0.08,0.29,50,-3509,35427,2082,5591,1100,1090,1140,2.5,5,-0.09904874812995737,1.6666666666666667,14.133333333333335,17.233333333333334,17.233333333333334,3.633333333333333
17,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,1,0,10,12.6,0.0,0.0,1.3,1,0.00,0.00,0.00,1.18,50,0,1510016,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,12,8,6,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,2,0,25,15.4,0.0,0.0,1.5,1,0.00,0.01,0.01,1.06,50,-46452,1625661,45504,91956,1100,1140,1170,2.0,2,-0.028574223039120702,1.0,6.3,0.0,0.0,0.65
17,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,1,0,10,12.2,0.0,0.0,1.2,1,0.00,0.00,0.00,0.53,50,-23232,1657162,53491,76723,1100,1090,1140,4.0,8,-0.014019148399492627,2.6666666666666665,9.333333333333334,0.0,0.0,0.9333333333333332
17,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,1,0,10,10.8,0.0,0.0,1.1,1,0.00,0.00,0.00,0.96,50,-97431,1577658,26035,123466,1275,1310,1240,3.0,9,-0.061756730546164,2.25,10.05,0.0,0.0,1.0
19,2,16,10,True,2023-08-12T12:00:00Z,2,1,1,90,1,0,0,1,0,0,0,0,0,0,3,37,53.8,46.2,39.0,13.9,1,0.19,0.17,0.36,1.18,85,0,4878155,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,12,8,3,False,2023-08-21T19:00:00Z,0,1,2,88,0,0,1,0,0,0,0,0,0,0,0,15,10.6,30.3,30.0,7.1,1,0.16,0.11,0.27,0.80,86,446931,5980568,473575,26644,1100,1140,1170,10.0,10,0.07473052726764415,5.0,26.9,23.1,23.1,6.95
19,21,10,8,True,2023-08-26T14:00:00Z,2,2,3,90,1,0,0,2,0,0,0,0,0,0,1,26,51.0,63.2,65.0,17.9,1,1.36,1.08,2.44,0.53,86,123264,6259148,208193,84929,1100,1090,1140,6.5,13,0.019693415142124776,4.333333333333333,21.466666666666665,25.5,25.5,7.0
19,31,14,4,True,2023-09-03T15:30:00Z,3,1,4,90,0,1,0,1,0,0,0,1,0,0,0,22,35.0,68.2,32.0,13.5,1,0.45,0.24,0.69,0.96,87,7970,6352382,144180,136210,1275,1310,1240,7.0,21,0.0012546474692485432,5.25,28.849999999999998,34.925,34.925,9.725
20,2,16,5,True,2023-08-12T12:00:00Z,2,1,1,90,0,1,0,1,0,0,0,0,0,0,0,22,33.6,13.6,2.0,4.9,1,0.00,0.03,0.03,1.18,50,0,1463572,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,12,8,8,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,2,29,27.6,1.2,0.0,2.9,1,0.00,0.01,0.01,1.06,51,279299,2061837,320796,41497,1100,1140,1170,5.0,5,0.13546124160154271,2.5,16.8,6.8,6.8,2.45
20,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,14,17.6,14.5,7.0,3.9,1,0.04,0.03,0.07,0.53,52,460200,2652845,511623,51423,1100,1090,1140,6.5,13,0.1734741381422586,4.333333333333333,20.400000000000002,4.933333333333333,4.933333333333333,2.6
20,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,17,20.2,2.3,0.0,2.3,1,0.00,0.01,0.01,0.96,52,15799,2705729,170346,154547,1275,1310,1240,4.666666666666667,14,0.005839091793745789,3.5,19.700000000000003,7.324999999999999,7.324999999999999,2.9250000000000003
25,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,40,0,0,0,1,0,0,0,0,0,0,0,9,10.0,4.3,9.0,2.3,0,0.03,0.02,0.05,0.90,45,0,16472,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,12,8,3,False,2023-08-21T19:00:00Z,0,1,2,66,0,0,1,0,0,0,0,0,1,0,0,13,0.0,3.8,0.0,0.2,1,0.00,0.03,0.03,1.79,45,1117,24757,4024,2907,1100,1140,1170,0.0,0,0.04511855232863433,0.0,0.0,0.0,0.0,0.0
25,31,14,1,True,2023-09-03T15:30:00Z,3,1,4,14,0,0,0,0,0,0,0,0,0,0,0,3,0.4,2.9,0.0,0.3,0,0.00,0.02,0.02,0.06,45,-854,21620,1201,2055,1275,1310,1240,1.0,1,-0.039500462534690105,0.5,5.0,2.15,2.15,1.15
26,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,17,0,0,0,1,0,0,0,0,0,0,0,8,5.4,10.8,0.0,1.6,0,0.00,0.01,0.01,0.88,70,0,500290,0,0,1100,1110,1120,2.0,4,0.0,1.3333333333333333,3.3333333333333335,2.6999999999999997,2.6999999999999997,0.8333333333333334
26,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,45,0,0,0,1,0,0,0,0,0,0,0,10,9.4,43.9,10.0,6.3,1,0.00,0.68,0.68,0.29,68,-126915,293748,4237,131152,1100,1090,1140,0.0,0,-0.43205400547407985,0.0,0.0,0.0,0.0,0.0
29,2,16,1,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,1,0,0,0,8,10.8,7.3,2.0,2.0,1,0.00,0.03,0.03,1.18,55,0,812755,0,0,1100,1110,1120,1.0,1,0.0,0.5,2.7,5.4,5.4,0.8
29,12,8,7,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,1,26,21.6,4.2,0.0,2.6,1,0.00,0.02,0.02,1.06,55,-26439,846686,40504,66943,1100,1140,1170,0.0,0,-0.031226452309356716,0.0,0.0,0.0,0.0,0.0
29,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,18,20.6,32.4,4.0,5.7,1,0.00,0.10,0.10,0.53,55,18413,895528,67894,49481,1100,1090,1140,2.0,2,0.020561054484058566,1.0,15.0,0.0,0.0,1.5
29,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,19,26.6,26.5,2.0,5.5,1,0.00,0.29,0.29,0.96,55,-46415,859849,27773,74188,1275,1310,1240,2.0,4,-0.05398040818794928,1.3333333333333333,15.466666666666667,0.0,0.0,1.5333333333333332
31,12,8,1,False,2023-08-21T19:00:00Z,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.2,1.3,0.0,0.2,0,0.00,0.00,0.00,0.26,50,-91078,528181,18283,109361,1100,1140,1170,2.3333333333333335,7,-0.17243710016074035,1.75,21.45,0.0,0.0,2.125
31,21,10,1,True,2023-08-26T14:00:00Z,2,2,3,34,0,0,0,1,0,0,0,0,0,0,0,11,7.2,23.4,4.0,3.5,0,0.00,0.03,0.03,0.25,49,-45395,501796,25463,70858,1100,1090,1140,0.0,0,-0.09046504954204497,0.0,0.0,0.0,0.0,0.0
31,31,14,2,True,2023-09-03T15:30:00Z,3,1,4,75,0,0,0,1,0,0,0,0,0,0,0,15,6.8,13.4,0.0,2.0,1,0.00,0.03,0.03,0.90,49,-50655,462182,14782,65437,1275,1310,1240,1.0,1,-0.10959968151074685,0.5,5.4,3.65,3.65,1.0
540,2,16,2,True,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,18,21.6,4.6,31.0,5.7,1,0.25,0.03,0.28,1.18,55,0,511196,0,0,1100,1110,1120,4.0,8,0.0,2.6666666666666665,10.800000000000002,3.8333333333333335,3.8333333333333335,1.5333333333333332
540,12,8,3,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,0,0,0,0,20,22.8,19.0,2.0,4.4,1,0.00,0.23,0.23,1.06,55,-35250,551259,28690,63940,1100,1140,1170,3.0,9,-0.06394453423889677,2.25,13.250000000000002,10.975,10.975,2.575
540,21,10,2,True,2023-08-26T14:00:00Z,2,2,3,90,0,0,0,2,0,0,0,0,0,0,0,20,20.8,6.8,0.0,2.8,1,0.00,0.07,0.07,0.42,55,-49957,520310,16927,66884,1100,1090,1140,0.0,0,-0.09601391478157252,0.0,0.0,0.0,0.0,0.0
540,31,14,10,True,2023-09-03T15:30:00Z,3,1,4,90,1,0,0,1,0,0,0,0,0,0,3,31,42.6,5.4,24.0,7.2,1,0.23,0.03,0.26,0.96,54,-65553,464199,7411,72964,1275,1310,1240,1.0,1,-0.14121745199795777,0.5,0.1,0.65,0.65,0.1
578,31,14,1,True,2023-09-03T15:30:00Z,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.8,4.0,0.7,0,0.00,0.01,0.01,0.00,49,-254,2980,78,332,1275,1310,1240,1.0,2,-0.08523489932885905,0.6666666666666666,2.466666666666667,8.233333333333333,8.233333333333333,1.2333333333333334
585,2,16,0,True,2023-08-12T12:00:00Z,2,1,1,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,50,0,489582,0,0,1100,1110,1120,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,6,15,1,False,2023-08-12T16:30:00Z,5,1,1,45,0,0,0,2,0,0,0,0,0,0,0,-1,0.2,3.8,0.0,0.4,1,0.00,0.01,0.01,1.24,55,0,58138,0,0,1220,1250,1310,0.0,0,0.0,0.0,0.0,2.15,2.15,0.15
34,11,9,14,True,2023-08-20T13:00:00Z,4,0,2,62,1,1,1,0,0,0,0,0,0,0,3,41,50.0,13.2,31.0,9.4,1,0.32,0.68,1.00,0.64,55,-3030,63516,6101,9131,1100,1120,1080,0.0,0,-0.04770451539769507,0.0,0.0,0.0,0.0,0.0
34,37,11,1,False,2023-09-03T13:00:00Z,3,0,4,46,0,0,0,2,0,0,0,0,0,0,0,7,7.6,14.7,0.0,2.2,0,0.00,0.07,0.07,2.23,55,-29302,171491,21273,50575,1220,1170,1270,1.0,1,-0.170866109591757,0.5,0.1,1.9,1.9,0.2
36,6,15,-1,False,2023-08-12T16:30:00Z,5,1,1,86,0,0,0,4,0,0,0,1,0,0,0,1,3.8,1.8,11.0,1.7,1,0.74,0.00,0.74,2.80,45,0,626098,0,0,1220,1250,1310,7.5,15,0.0,5.0,16.733333333333334,5.666666666666667,5.666666666666667,3.266666666666667
36,11,9,6,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,27,24.4,16.3,0.0,4.1,1,0.00,0.27,0.27,0.68,45,21738,696141,65696,43958,1100,1120,1080,0.0,0,0.03122643257615914,0.0,0.0,0.0,0.0,0.0
36,25,6,17,False,2023-08-27T13:00:00Z,1,3,3,90,2,0,0,1,0,0,0,0,0,0,3,45,80.6,3.7,81.0,16.5,1,1.35,0.02,1.37,0.73,45,22772,738209,67447,44675,1060,1060,1080,-1.0,-1,0.03084763258101703,-0.5,1.9,0.9,0.9,0.85
36,37,11,-1,False,2023-09-03T13:00:00Z,3,0,4,90,0,0,0,3,1,0,0,0,0,0,0,0,8.6,0.7,48.0,5.7,1,0.06,0.00,0.06,2.47,46,450873,1264751,501144,50271,1220,1170,1270,2.5,5,0.3564915149306069,1.6666666666666667,9.4,6.033333333333334,6.033333333333334,1.9333333333333333
38,6,15,1,False,2023-08-12T16:30:00Z,5,1,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0.0,1.8,4.0,0.5,0,0.08,0.01,0.09,0.65,60,0,45198,0,0,1220,1250,1310,7.333333333333333,22,0.0,5.5,27.2,5.45,5.45,5.575
38,11,9,1,True,2023-08-20T13:00:00Z,4,0,2,21,0,0,0,0,0,0,0,0,0,0,0,4,4.0,1.0,8.0,1.3,0,0.07,0.01,0.08,0.03,60,-5406,53391,3394,8800,1100,1120,1080,0.0,0,-0.10125302017193909,0.0,0.0,0.0,0.0,0.0
41,6,15,0,False,2023-08-12T16:30:00Z,5,1,1,26,0,0,0,2,0,0,0,0,0,0,0,6,9.4,0.4,37.0,4.7,0,0.27,0.00,0.27,1.64,45,0,36482,0,0,1220,1250,1310,1.0,1,0.0,0.5,0.0,0.9,0.9,0.25
41,11,9,1,True,2023-08-20T13:00:00Z,4,0,2,26,0,0,0,0,0,0,0,0,0,0,0,8,15.2,0.2,0.0,1.5,0,0.00,0.00,0.00,0.03,45,-1562,44605,4081,5643,1100,1120,1080,0.0,0,-0.03501849568434032,0.0,0.0,0.0,0.0,0.0
41,25,6,2,False,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,0,10,14.4,0.7,8.0,2.3,1,0.10,0.01,0.11,0.73,45,-2464,44528,2472,4936,1060,1060,1080,0.0,0,-0.05533596837944664,0.0,4.7,0.2,0.2,2.35
41,37,11,1,False,2023-09-03T13:00:00Z,3,0,4,18,0,0,0,1,0,0,0,0,0,0,0,3,1.6,0.2,0.0,0.2,1,0.00,0.00,0.00,0.06,45,-1653,44857,2268,3921,1220,1170,1270,0.5,1,-0.03685043582941347,0.3333333333333333,8.200000000000001,0.20000000000000004,0.20000000000000004,2.066666666666667
42,6,15,-1,False,2023-08-12T16:30:00Z,5,1,1,90,0,0,0,5,0,0,0,1,0,0,0,13,13.2,45.2,2.0,6.0,1,0.00,0.15,0.15,3.44,45,0,93893,0,0,1220,1250,1310,1.0,3,0.0,0.75,9.75,0.325,0.325,2.125
42,11,9,10,True,2023-08-20T13:00:00Z,4,0,2,90,0,1,1,0,0,0,0,1,0,0,2,31,14.8,17.7,5.0,3.8,1,0.02,0.05,0.07,0.68,45,7057,115312,17061,10004,1100,1120,1080,0.0,0,0.061199181351463856,0.0,0.0,0.0,0.0,0.0
42,25,6,5,False,2023-08-27T13:00:00Z,1,3,3,80,0,1,0,1,0,0,0,0,0,0,0,17,21.8,22.5,10.0,5.4,1,0.00,0.08,0.08,0.28,45,118092,257804,135008,16916,1060,1060,1080,-1.0,-1,0.4580689205753208,-0.5,6.6,22.6,22.6,3.0
42,37,11,1,False,2023-09-03T13:00:00Z,3,0,4,90,0,0,0,3,0,0,0,0,0,0,0,17,29.0,61.8,0.0,9.1,1,0.00,0.23,0.23,2.47,45,33661,296233,57811,24150,1220,1170,1270,4.5,9,0.11363014924063153,3.0,9.333333333333334,20.96666666666667,20.96666666666667,3.266666666666667
43,6,15,1,False,2023-08-12T16:30:00Z,5,1,1,90,0,0,0,5,0,0,0,1,0,0,0,10,9.4,22.3,19.0,5.1,1,0.19,0.15,0.34,3.44,55,0,255432,0,0,1220,1250,1310,4.666666666666667,14,0.0,3.5,12.45,21.35,21.35,3.8000000000000003
43,11,9,7,True,2023-08-20T13:00:00Z,4,0,2,63,1,0,1,0,0,0,0,1,0,0,0,30,44.0,14.4,19.0,7.7,1,0.79,0.10,0.89,0.64,55,-27868,233546,4278,32146,1100,1120,1080,0.0,0,-0.11932552901783802,0.0,0.0,0.0,0.0,0.0
43,25,6,2,False,2023-08-27T13:00:00Z,1,3,3,85,0,0,0,1,0,0,0,0,0,0,0,12,11.4,33.9,0.0,4.5,1,0.00,0.13,0.13,0.39,55,-11185,227643,11671,22856,1060,1060,1080,1.0,1,-0.04913395096708443,0.5,4.7,11.15,11.15,2.55
43,37,11,2,False,2023-09-03T13:00:00Z,3,0,4,71,0,0,0,3,0,0,0,0,0,0,0,19,9.0,2.3,2.0,1.3,1,0.00,0.03,0.03,2.35,54,-26705,201684,3602,30307,1220,1170,1270,4.0,8,-0.13241010689990282,2.6666666666666665,17.8,12.233333333333334,12.233333333333334,4.266666666666667
44,11,9,7,True,2023-08-20T13:00:00Z,4,0,2,16,1,0,0,0,0,0,0,0,0,0,2,31,38.2,11.7,19.0,6.9,0,0.55,0.00,0.55,0.03,50,-1228,3101,67,1295,1100,1120,1080,3.3333333333333335,10,-0.39600128990648176,2.5,16.2,17.65,17.65,4.325
44,25,6,1,False,2023-08-27T13:00:00Z,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,0,0.00,0.00,0.00,0.33,50,5987,11960,7315,1328,1060,1060,1080,0.0,0,0.5005852842809364,0.0,0.0,0.0,0.0,0.0
44,37,11,1,False,2023-09-03T13:00:00Z,3,0,4,17,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.8,8.0,0.4,0,0.08,0.01,0.09,0.12,50,-311,12358,2128,2439,1220,1170,1270,7.0,7,-0.02516588444732157,3.5,19.1,5.85,5.85,3.45
47,6,15,2,False,2023-08-12T16:30:00Z,5,1,1,90,0,0,0,5,0,0,0,0,0,0,0,10,4.8,19.3,7.0,3.1,1,0.03,0.02,0.05,3.44,50,0,6923,0,0,1220,1250,1310,4.0,8,0.0,2.6666666666666665,12.733333333333334,3.9,3.9,2.3666666666666667
47,11,9,3,True,2023-08-20T13:00:00Z,4,0,2,90,0,0,1,0,0,0,0,0,0,0,0,12,4.2,2.6,2.0,0.9,1,0.02,0.03,0.05,0.68,50,5,9749,1270,1265,1100,1120,1080,0.0,0,0.0005128731151913017,0.0,0.0,0.0,0.0,0.0
47,25,6,3,False,2023-08-27T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,1,23,18.2,22.9,0.0,4.1,1,0.00,0.03,0.03,0.73,50,-325,10304,1139,1464,1060,1060,1080,2.0,2,-0.031541149068322984,1.0,2.4,9.65,9.65,1.55
47,37,11,1,False,2023-09-03T13:00:00Z,3,0,4,90,0,0,0,3,0,0,0,1,0,0,0,12,11.8,11.1,0.0,2.3,1,0.00,0.01,0.01,2.47,50,15,11001,1287,1272,1220,1170,1270,2.5,5,0.0013635124079629125,1.6666666666666667,3.0,7.300000000000001,7.300000000000001,1.3333333333333333
