element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_strength,oppoenet_attack,opponent_defense,form,preround_total_points,transfers_reduced,average_points,preround_influence,preround_creativity,preround_threat,preround_ict
304,14,3,-2,True,2023-08-19T14:00:00Z,3,1,2,57,0,0,0,1,0,0,0,0,1,0,0,1,7.8,7.9,0.0,1.6,1,0.00,0.05,0.05,2.38,60,-57686,1022382,45356,103042,1095,1100,1090,3.0,3,-0.05642313734005489,1.5,4.8,9.65,9.65,1.45
304,29,15,2,False,2023-08-27T15:30:00Z,1,2,3,76,0,0,0,1,0,0,0,0,0,0,0,8,17.6,1.8,0.0,1.9,1,0.00,0.01,0.01,1.60,60,-417199,607408,6672,423871,1220,1250,1310,3.0,6,-0.6868513420962516,2.0,5.333333333333333,9.433333333333334,9.433333333333334,1.5999999999999999
304,37,2,3,True,2023-09-03T13:00:00Z,3,0,4,86,0,0,1,0,0,0,0,0,0,0,0,14,6.6,10.1,0.0,1.7,1,0.00,0.04,0.04,0.66,60,-88216,536871,7783,95999,1175,1190,1160,2.6666666666666665,8,-0.16431507755121808,2.0,7.65,14.55,14.55,2.675
305,29,15,2,False,2023-08-27T15:30:00Z,1,2,3,76,0,0,0,1,0,0,0,0,0,0,0,10,5.0,0.9,4.0,1.0,1,0.10,0.01,0.11,1.60,49,-2828,22733,835,3663,1220,1250,1310,0.0,0,-0.12440065103593895,0.0,0.0,0.0,0.0,0.0
305,37,2,6,True,2023-09-03T13:00:00Z,3,0,4,90,0,0,1,0,0,0,0,0,0,0,0,24,12.8,11.5,10.0,3.4,1,0.30,0.01,0.31,0.66,49,3975,29726,6184,2209,1175,1190,1160,0.0,0,0.13372132140213955,0.0,0.0,0.0,0.0,0.0
307,9,7,2,False,2023-08-13T15:30:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,16,26.4,12.6,2.0,4.1,1,0.00,0.01,0.01,1.28,65,0,293741,0,0,1115,1130,1210,6.0,6,0.0,3.0,1.1,2.9,2.9,0.4
307,14,3,2,True,2023-08-19T14:00:00Z,3,1,2,90,0,0,0,1,0,0,0,0,0,0,0,19,19.8,50.2,0.0,7.0,1,0.00,0.21,0.21,1.29,65,25781,392028,48897,23116,1095,1100,1090,0.0,0,0.06576315977430183,0.0,0.0,0.0,0.0,0.0
307,29,15,2,False,2023-08-27T15:30:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,13,12.6,19.2,0.0,3.2,1,0.00,0.06,0.06,2.00,65,-17337,395601,30615,47952,1220,1250,1310,0.0,0,-0.04382445949327732,0.0,0.0,0.0,0.0,0.0
307,37,2,6,True,2023-09-03T13:00:00Z,3,0,4,90,0,0,1,0,0,0,0,0,0,0,0,26,22.2,19.8,2.0,4.4,1,0.00,0.09,0.09,0.66,65,1223,416484,30508,29285,1175,1190,1160,1.0,1,0.0029364873560568956,0.5,0.0,0.35,0.35,0.0
308,9,7,5,False,2023-08-13T15:30:00Z,1,1,1,76,0,1,0,1,0,0,0,0,0,0,0,15,16.6,20.2,12.0,4.9,1,0.28,0.31,0.59,1.28,125,0,2243674,0,0,1115,1130,1210,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
308,14,3,5,True,2023-08-19T14:00:00Z,3,1,2,85,1,0,0,1,0,0,1,0,0,0,0,15,41.4,33.0,79.0,15.3,1,1.23,0.11,1.34,1.00,125,163064,2739755,211617,48553,1095,1100,1090,0.0,0,0.0595177305999989,0.0,0.0,0.0,0.0,0.0
